rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
1,Google (AI Studio),Gemini 3.1 Pro Preview (AI Studio),1m,Proprietary,57,$4.50,113,33.95,38.36,N/A,https://artificialanalysis.ai/models/gemini-3-1-pro-preview,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers
2,Google (Vertex),Gemini 3.1 Pro Preview (Vertex),1m,Proprietary,57,$4.50,106,46.50,51.21,N/A,https://artificialanalysis.ai/models/gemini-3-1-pro-preview,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers
3,OpenAI,GPT-5.4 (xhigh),1m,Proprietary,57,$5.63,73,207.42,214.24,N/A,https://artificialanalysis.ai/models/gpt-5-4,https://artificialanalysis.ai/models/gpt-5-4/providers
4,Microsoft Azure,GPT-5.4 (xhigh),1m,Proprietary,57,$5.63,70,171.73,178.91,N/A,https://artificialanalysis.ai/models/gpt-5-4,https://artificialanalysis.ai/models/gpt-5-4/providers
5,OpenAI,GPT-5.3 Codex (xhigh),400k,Proprietary,54,$4.81,78,117.85,124.28,N/A,https://artificialanalysis.ai/models/gpt-5-3-codex,https://artificialanalysis.ai/models/gpt-5-3-codex/providers
6,Anthropic,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,48,22.02,32.38,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
7,Microsoft Azure,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,46,22.00,32.87,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
8,Google,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,51,1.35,11.21,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
9,Amazon Bedrock,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,50,2.23,12.18,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
10,Microsoft Azure,Claude Sonnet 4.6 (max),200k,Proprietary,52,$6.00,68,96.37,103.75,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive/providers
11,Amazon Bedrock,Claude Sonnet 4.6 (max),200k,Proprietary,52,$6.00,67,129.07,136.50,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive/providers
